Dataset,Epsilon,Cores,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,43.65,11226,22452,1822,250
B20K,20.0,7,46.20,23819,47638,1524,108
B20K,30.0,7,47.81,36174,72348,1016,55
B20K,40.0,7,49.79,49403,98806,1108,72
B20K,50.0,7,50.99,62752,125504,958,37
B20K,10.0,7,42.64,11226,22452,1822,250
B20K,20.0,7,46.04,23819,47638,1524,108
B20K,30.0,7,47.04,36174,72348,1016,55
B20K,40.0,7,49.07,49403,98806,1108,72
B20K,50.0,7,50.72,62752,125504,958,37
B20K,10.0,7,44.29,11226,22452,1822,250
B20K,20.0,7,45.36,23819,47638,1524,108
B20K,30.0,7,47.38,36174,72348,1016,55
B20K,40.0,7,48.90,49403,98806,1108,72
B20K,50.0,7,52.09,62752,125504,958,37
B40K,10.0,14,38.23,22452,44904,3644,500
B40K,20.0,14,40.86,47638,95276,3048,216
B40K,30.0,14,43.25,72348,144696,2032,110
B40K,40.0,14,45.60,98806,197612,2216,144
B40K,50.0,14,45.84,125504,251008,1916,74
B40K,10.0,14,38.61,22452,44904,3644,500
B40K,20.0,14,41.75,47638,95276,3048,216
B40K,30.0,14,42.85,72348,144696,2032,110
B40K,40.0,14,45.46,98806,197612,2216,144
B40K,50.0,14,46.81,125504,251008,1916,74
B40K,10.0,14,40.57,22452,44904,3644,500
B40K,20.0,14,42.09,47638,95276,3048,216
B40K,30.0,14,44.78,72348,144696,2032,110
B40K,40.0,14,45.02,98806,197612,2216,144
B40K,50.0,14,46.89,125504,251008,1916,74
B60K,10.0,14,42.50,33678,67356,5466,749
B60K,20.0,14,44.25,71457,142914,4572,324
B60K,30.0,14,48.03,108522,217044,3048,165
B60K,40.0,14,46.60,148209,296418,3324,216
B60K,50.0,14,51.54,188256,376512,2874,112
B60K,10.0,14,43.33,33678,67356,5466,749
B60K,20.0,14,44.84,71457,142914,4572,324
B60K,30.0,14,47.58,108522,217044,3048,165
B60K,40.0,14,49.67,148209,296418,3324,216
B60K,50.0,14,50.11,188256,376512,2874,112
B60K,10.0,14,43.19,33678,67356,5466,749
B60K,20.0,14,44.59,71457,142914,4572,324
B60K,30.0,14,46.69,108522,217044,3048,165
B60K,40.0,14,49.19,148209,296418,3324,216
B60K,50.0,14,53.00,188256,376512,2874,112
B80K,10.0,14,60.27,44904,89808,7288,996
B80K,20.0,14,53.06,95276,190552,6096,432
B80K,30.0,14,55.43,144696,289392,4064,220
B80K,40.0,14,68.80,197612,395224,4432,288
B80K,50.0,14,58.72,251008,502016,3832,148
B80K,10.0,14,50.87,44904,89808,7288,996
B80K,20.0,14,53.58,95276,190552,6096,432
B80K,30.0,14,53.92,144696,289392,4064,220
B80K,40.0,14,55.80,197612,395224,4432,288
B80K,50.0,14,69.75,251008,502016,3832,148
B80K,10.0,14,50.82,44904,89808,7288,996
B80K,20.0,14,63.99,95276,190552,6096,432
B80K,30.0,14,55.40,144696,289392,4064,220
B80K,40.0,14,68.10,197612,395224,4432,288
B80K,50.0,14,60.53,251008,502016,3832,148
